
running 5676 tests
test agent::auth_method::tests::legacy_env_var_fallback_advertises_xai_api_key has been running for over 60 seconds
test agent::auth_method::tests::new_env_var_takes_precedence_over_legacy has been running for over 60 seconds
test agent::auth_method::tests::no_legacy_token_means_no_cached_token_advertised has been running for over 60 seconds
test agent::config::tests::agent_selection_config_defaults_to_none has been running for over 60 seconds
test agent::config::tests::agent_selection_not_specified_uses_defaults has been running for over 60 seconds
test agent::config::tests::allowed_models_empty_is_unrestricted has been running for over 60 seconds
test agent::config::tests::agent_selection_config_defaults_to_none ... ok
test agent::auth_method::tests::disable_api_key_auth_suppresses_xai_api_key_method ... ok
test agent::auth_method::tests::global_external_api_key_advertises_xai_api_key_first ... ok
test agent::config::tests::auth_alias_maps_to_grok_com_config ... ok
test agent::config::tests::agent_selection_not_specified_uses_defaults ... ok
test agent::config::tests::auto_mode_config_parses_from_toml_and_json_equivalently ... ok
test agent::config::tests::auto_mode_prompt_type_parses_snake_case ... ok
test agent::config::tests::allowed_models_empty_is_unrestricted ... ok
test agent::config::tests::auto_compact_threshold_percent_defaults_when_not_specified ... ok
test agent::config::tests::byok_from_lookup_classifies_all_states ... ok
test agent::config::tests::compaction_detail_resolves_remote_settings_and_verbose_default ... ok
test agent::config::tests::compaction_mode_precedence_env_over_config_over_remote_over_default ... ok
test agent::config::tests::byok_config_overlay_visible_to_api_key_users ... ok
test agent::config::tests::compat_config_cell_is_tolerant_and_fail_closed_per_cell ... ok
test agent::auth_method::tests::grok_login_legacy_token_does_not_require_login ... ok
test agent::config::tests::config_accepts_compact_permission_section ... ok
test agent::config::tests::allowed_models_marks_selectable_by_wildcard_key_or_model ... ok
test agent::config::tests::config_models_default_is_not_overwritten_by_default_models_json ... ok
test agent::config::tests::config_override_applies_show_model_fingerprint ... ok
test agent::config::tests::config_accepts_all_known_sections ... ok
test agent::config::tests::config_models_default_custom_model_is_in_resolved_model_list ... ok
test agent::config::tests::config_model_reasoning_efforts_parses_inline_tables_and_bare_strings ... ok
test agent::config::tests::default_auto_compact_threshold_is_none ... ok
test agent::config::tests::config_warns_on_field_typos ... ok
test agent::auth_method::tests::enterprise_byok_config_does_not_require_login ... ok
test agent::config::tests::default_models_do_not_embed_literal_api_keys ... ok
test agent::config::tests::config_warns_on_section_typo ... ok
test agent::auth_method::tests::legacy_env_var_fallback_advertises_xai_api_key ... ok
test agent::auth_method::tests::new_env_var_takes_precedence_over_legacy ... ok
test agent::config::tests::default_models_dual_endpoint_routing ... ok
test agent::config::tests::e2e_acp_model_info_no_dedup_on_model_field ... ok
test agent::config::tests::deprecated_toolset_use_concise_is_ignored_in_model_config ... ok
test agent::config::tests::e2e_config_models_parsed_directly_not_via_deep_merge ... ok
test agent::auth_method::tests::no_legacy_token_means_no_cached_token_advertised ... ok
test agent::config::tests::disable_api_key_auth_parses_from_auth_alias ... ok
test agent::config::tests::aux_endpoints_resolve_to_proxy_never_inference ... ok
test agent::config::tests::disabled_models_removed_from_catalog ... ok
test agent::config::tests::e2e_default_endpoint_still_injects_defaults ... ok
test agent::config::tests::e2e_default_byok_model_does_not_forward_session_token ... ok
test agent::config::tests::e2e_enterprise_custom_endpoint_skips_xai_defaults ... ok
test agent::config::tests::config_toml_env_key_array_parses ... ok
test agent::config::tests::e2e_duplicate_model_field_both_entries_survive ... ok
test agent::config::tests::e2e_models_endpoint_serde_alias_parses_as_models_list_url ... ok
test agent::config::tests::default_models_deepseek_byok_routing ... ok
test agent::config::tests::e2e_provider_default_ignores_xai_endpoints_with_partial_override ... ok
test agent::config::tests::e2e_user_config_overrides_prefetched_model ... ok
test agent::config::tests::effective_classifier_supports_re_uses_actually_used_model ... ok
test agent::config::tests::e2e_user_override_explicit_base_url_wins_over_endpoints ... ok
test agent::config::tests::enforce_disable_api_key_auth_blocks_first_party_only ... ok
test agent::config::tests::env_keys_deser_string_or_array ... ok
test agent::config::tests::env_keys_resolve_skips_whitespace_only_value ... ok
test agent::config::tests::env_keys_resolve_first_set_wins ... ok
test agent::config::tests::doom_loop_recovery_section_parses_from_toml ... ok
test agent::config::tests::env_keys_single_and_array_are_semantically_equal ... ok
test agent::config::tests::e2e_user_overrides_default_model_with_api_key ... ok
test agent::config::tests::external_otel_master_switch_resolves_from_all_layers ... ok
test agent::config::tests::e2e_xai_endpoints_do_not_rewrite_provider_defaults ... ok
test agent::config::tests::finalize_image_describe_sampler_none_uses_active_session_model_not_forced_helper ... ok
test agent::config::tests::external_otel_carries_internal_consumed_flag ... ok
test agent::config::tests::external_otel_default_off_and_double_opt_in ... ok
test agent::config::tests::external_otel_file_table_layered_under_env ... ok
test agent::config::tests::external_otel_requirements_pin_wins_over_env ... ok
test agent::config::tests::finalize_image_describe_sampler_some_stamps_session_fields ... ok
test agent::config::tests::force_login_team_uuid_implies_api_key_auth_disabled ... ok
test agent::config::tests::e2e_config_toml_model_overrides_default ... ok
test agent::config::tests::e2e_credential_priority_model_key_beats_session_beats_env ... ok
test agent::config::tests::global_extra_headers_apply_to_prefetched_model ... ok
test agent::config::tests::global_extra_headers_apply_to_model_without_override ... ok
test agent::config::tests::global_model_defaults_do_not_override_prefetched_value ... ok
test agent::config::tests::global_model_defaults_apply_to_model_without_override ... ok
test agent::config::tests::force_login_team_uuid_parses_string_and_array ... ok
test agent::config::tests::goal_model_pin_malformed_is_dropped_not_fatal ... ok
test agent::config::tests::e2e_default_byok_model_does_not_forward_external_xai_key ... ok
test agent::config::tests::goal_skeptic_models_drop_malformed_entry_keep_rest ... ok
test agent::config::tests::goal_model_pins_parse_from_toml ... ok
test agent::config::tests::goal_keys_round_trip_from_toml ... ok
test agent::config::tests::grok_com_config_still_works ... ok
test agent::config::tests::e2e_user_overrides_default_model_key_with_custom_endpoint ... ok
test agent::config::tests::first_own_credential_empty_api_key_falls_through_to_env_key ... ok
test agent::config::tests::hub_config_default_has_no_url ... ok
test agent::config::tests::hub_config_is_enabled_only_for_nonempty_url ... ok
test agent::config::tests::hidden_default_web_search_resolution_is_explicit_and_responses_only ... ok
test agent::config::tests::inference_idle_timeout_propagates_to_model_info ... ok
test agent::config::tests::full_goal_managed_config_resolves_end_to_end ... ok
test agent::config::tests::goal_use_current_model_only_config_true ... ok
test agent::config::tests::inject_url_derived_headers_adds_proxy_headers_for_cli_chat_proxy_url ... ok
test agent::config::tests::inject_url_derived_headers_does_not_overwrite_existing_entries ... ok
test agent::config::tests::inject_url_derived_headers_preserves_caller_extra_headers ... ok
test agent::config::tests::goal_use_current_model_only_default_false ... ok
test agent::config::tests::inject_url_derived_headers_skips_proxy_headers_for_external_url ... ok
test agent::config::tests::hidden_models_kept_in_catalog_but_not_in_acp ... ok
test agent::config::tests::inference_idle_timeout_secs_absent_defaults_to_none ... ok
test agent::config::tests::goal_use_current_model_only_env_overrides_config_false ... ok
test agent::config::tests::internal_otlp_endpoint_grok_internal_wins_regardless_of_switch ... ok
test agent::config::tests::inference_idle_timeout_secs_round_trip ... ok
test agent::config::tests::hidden_model_excluded_from_acp_but_kept_in_catalog ... ok
test agent::config::tests::laziness_detector_absent_block_deserializes_to_default ... ok
test agent::config::tests::goal_use_current_model_only_env_true ... ok
test agent::config::tests::internal_otlp_ignores_legacy_vars_when_switch_set ... ok
test agent::config::tests::laziness_detector_default_is_all_disabled ... ok
test agent::config::tests::laziness_detector_fallback_modelinfo_is_disabled ... ok
test agent::config::tests::laziness_detector_include_reasoning_serde_states ... ok
test agent::config::tests::internal_otlp_endpoint_legacy_fallback_when_switch_unset ... ok
test agent::config::tests::internal_otlp_headers_precedence ... ok
test agent::config::tests::laziness_detector_block_round_trips_through_serde ... ok
test agent::config::tests::invalid_glob_is_rejected_by_validation ... ok
test agent::config::tests::imagine_tools_disabled_gates_image_edit ... ok
test agent::config::tests::internal_otlp_consumed_standard_vars_cases ... ok
test agent::config::tests::is_telemetry_explicitly_disabled_sync_env_signals ... ok
test agent::config::tests::malformed_permission_rules_do_not_fail_config_load ... ok
test agent::config::tests::loader_managed_config_url_never_follows_inference_endpoint ... ok
test agent::config::tests::mcp_auto_restart_default_is_true ... ok
test agent::config::tests::mcp_auto_restart_env_wins_over_config_and_below ... ok
test agent::config::tests::mcp_auto_restart_requirement_wins_over_everything ... ok
test agent::config::tests::mcp_liveness_watchers_cli_wins_over_env_and_below ... ok
test agent::config::tests::mcp_liveness_watchers_requirement_wins_over_everything ... ok
test agent::config::tests::mcp_liveness_watchers_default_is_true ... ok
test agent::config::tests::mcp_liveness_watchers_env_wins_over_config_and_below ... ok
test agent::config::tests::mcp_liveness_watchers_feature_flag_used_when_no_higher_layer ... ok
test agent::config::tests::mcp_liveness_watchers_managed_wins_over_feature_flag ... ok
test agent::config::tests::mcp_liveness_watchers_config_wins_over_managed_and_feature_flag ... ok
test agent::config::tests::mcp_push_server_status_cli_wins_over_env_and_below ... ok
test agent::config::tests::mcp_push_server_status_config_wins_over_managed_and_feature_flag ... ok
test agent::config::tests::mcp_push_server_status_default_is_true ... ok
test agent::config::tests::mcp_push_server_status_env_wins_over_config_and_below ... ok
test agent::config::tests::mcp_push_server_status_managed_wins_over_feature_flag ... ok
test agent::config::tests::mcp_push_server_status_feature_flag_used_when_no_higher_layer ... ok
test agent::config::tests::mcp_recursive_config_watch_cli_wins_over_env_and_below ... ok
test agent::config::tests::mcp_push_server_status_requirement_wins_over_everything ... ok
test agent::config::tests::mcp_recursive_config_watch_config_wins_over_managed_and_feature_flag ... ok
test agent::config::tests::mcp_recursive_config_watch_default_is_true ... ok
test agent::config::tests::mcp_recursive_config_watch_env_wins_over_config_and_below ... ok
test agent::config::tests::mcp_recursive_config_watch_feature_flag_used_when_no_higher_layer ... ok
test agent::config::tests::mcp_recursive_config_watch_managed_wins_over_feature_flag ... ok
test agent::config::tests::mcp_recursive_config_watch_requirement_wins_over_everything ... ok
test agent::config::tests::model_info_from_config_propagates_agent_type ... ok
test agent::config::tests::model_info_from_config_propagates_use_concise ... ok
test agent::config::tests::main_cli_tools_override_preserves_profile_injection_policy ... ok
test agent::config::tests::non_table_permission_value_fails_config_load ... ok
test agent::config::tests::otlp_headers_parse ... ok
test agent::config::tests::model_chat_completions_backend_does_not_auto_default_supports_reasoning_effort ... ok
test agent::config::tests::model_api_backend_defaults_to_chat_completions ... ok
test agent::config::tests::model_messages_backend_auto_defaults_supports_reasoning_effort ... ok
test agent::config::tests::model_agent_type_defaults_to_grok_build ... ok
test agent::config::tests::otlp_traces_endpoint_precedence ... ok
test agent::config::tests::model_use_concise_defaults_to_false ... ok
test agent::config::tests::new_from_toml_cfg_restores_web_search_and_session_summary_models ... ok
test agent::config::tests::model_messages_backend_respects_explicit_supports_reasoning_effort_false ... ok
test agent::config::tests::parses_agent_selection_both_name_and_definition ... ok
test agent::config::tests::parsed_config_has_models_config ... ok
test agent::config::tests::parses_auto_compact_threshold_percent ... ok
test agent::config::tests::parses_agent_selection_name ... ok
test agent::config::tests::parses_agent_selection_definition_path ... ok
test agent::config::tests::parses_model_use_concise_true ... ok
test agent::config::tests::parses_repo_changes_dedup_config ... ok
test agent::config::tests::parses_model_api_key ... ok
test agent::config::tests::parses_toolset_overrides ... ok
test agent::config::tests::parses_model_with_agent_type ... ok
test agent::config::tests::parses_model_api_backend_chat_completions ... ok
test agent::config::tests::parses_model_context_window ... ok
test agent::config::tests::parses_toolset_bash_float_timeout ... ok
test agent::config::tests::parses_model_api_backend_responses ... ok
test agent::config::tests::permission_prompt_policy_warns_as_unconsumed ... ok
test agent::config::tests::proxy_messages_models_use_bearer_auth_scheme ... ok
test agent::config::tests::per_model_value_overrides_global_model_default ... ok
test agent::config::tests::remote_keys_are_one_hot_and_false_overrides_default ... ok
test agent::config::tests::per_model_extra_headers_override_global_per_key ... ok
test agent::config::tests::permission_unknown_subkey_still_warns ... ok
test agent::config::tests::resolve_ask_user_question_config_overrides_remote_settings ... ok
test agent::config::tests::per_model_extra_headers_override_global_case_insensitively ... ok
test agent::config::tests::resolve_aux_model_honors_grok_build_override ... ok
test agent::config::tests::resolve_ask_user_question_defaults_to_true_when_unset ... ok
test agent::config::tests::resolve_credentials_empty_api_key_falls_through_to_session ... ok
test agent::config::tests::resolve_ask_user_question_env_overrides_remote_settings ... ok
test agent::config::tests::plain_config_overlay_preserves_bundled_visibility ... ok
test agent::config::tests::resolve_ask_user_question_remote_settings_enables ... ok
test agent::config::tests::resolve_ask_user_question_remote_settings_kill_switch_overrides_default_on ... ok
test agent::config::tests::resolve_compat_defaults_match_registry ... ok
test agent::config::tests::resolve_compat_env_sessions_disable_independently ... ok
test agent::config::tests::resolve_credentials_no_session_key_returns_api_key ... ok
test agent::config::tests::resolve_credentials_sets_auth_type ... ok
test agent::config::tests::resolve_compat_precedence_and_reserved_codex_hook ... ok
test agent::config::tests::resolve_compat_toml_sessions_disable_independently ... ok
test agent::config::tests::resolve_credentials_empty_env_key_does_not_leak_global_xai_key ... ok
test agent::config::tests::resolve_credentials_empty_env_key_does_not_leak_session_token ... ok
test agent::config::tests::resolve_credentials_env_key_byok_keeps_api_key_auth_with_session ... ok
test agent::config::tests::resolve_feedback_env_overrides_all ... ok
test agent::config::tests::resolve_doom_loop_recovery_clamps_tunables ... ok
test agent::config::tests::resolve_doom_loop_recovery_precedence ... ok
test agent::config::tests::resolve_feedback_defaults_to_true_when_unset ... ok
test agent::config::tests::resolve_feedback_config_overrides_remote_settings ... ok
test agent::config::tests::resolve_credentials_multi_env_key_uses_lc_alias ... ok
test agent::config::tests::resolve_feedback_remote_settings_used_when_no_local ... ok
test agent::config::tests::resolve_goal_classifier_config_beats_remote ... ok
test agent::config::tests::resolve_goal_classifier_config_beats_default ... ok
test agent::config::tests::resolve_goal_classifier_config_honored_when_env_unset ... ok
test agent::config::tests::resolve_goal_classifier_default_tracks_goal_enabled ... ok
test agent::config::tests::resolve_goal_classifier_env_beats_config ... ok
test agent::config::tests::resolve_goal_classifier_env_overrides_default_and_remote ... ok
test agent::config::tests::resolve_goal_classifier_remote_forces_either_way ... ok
test agent::config::tests::resolve_goal_config_overrides_remote_settings ... ok
test agent::config::tests::resolve_goal_defaults_to_true_when_unset ... ok
test agent::config::tests::resolve_goal_planner_model_config_overrides_remote ... ok
test agent::config::tests::resolve_goal_env_overrides_config ... ok
test agent::config::tests::resolve_goal_planner_model_kill_switch_inherits ... ok
test agent::config::tests::resolve_goal_planner_model_default_inherits ... ok
test agent::config::tests::resolve_goal_planner_config_beats_default ... ok
test agent::config::tests::resolve_goal_planner_model_remote_pair_explicit ... ok
test agent::config::tests::resolve_goal_planner_model_remote_present_but_field_absent_inherits ... ok
test agent::config::tests::resolve_goal_planner_config_beats_remote ... ok
test agent::config::tests::resolve_goal_skeptic_models_config_pool_overrides_remote_pool ... ok
test agent::config::tests::resolve_goal_planner_config_honored_when_env_unset ... ok
test agent::config::tests::resolve_goal_skeptic_models_kill_switch_inherits ... ok
test agent::config::tests::resolve_goal_skeptic_models_no_pool_inherits ... ok
test agent::config::tests::resolve_goal_skeptic_models_remote_pool_explicit ... ok
test agent::config::tests::resolve_goal_strategist_model_config_overrides_remote ... ok
test agent::config::tests::resolve_goal_strategist_model_remote_pair_explicit ... ok
test agent::config::tests::resolve_goal_planner_default_tracks_goal_enabled ... ok
test agent::config::tests::resolve_goal_planner_env_beats_config ... ok
test agent::config::tests::resolve_goal_planner_env_overrides_default_and_remote ... ok
test agent::config::tests::resolve_goal_planner_remote_forces_either_way ... ok
test agent::config::tests::resolve_goal_remote_settings_kill_switch_overrides_default_on ... ok
test agent::config::tests::resolve_goal_remote_settings_used_when_no_local ... ok
test agent::config::tests::resolve_model_auth_facts_empty_model_id_is_unknown ... ok
test agent::config::tests::resolve_goal_summary_config_beats_default ... ok
test agent::config::tests::resolve_goal_summary_config_beats_remote ... ok
test agent::config::tests::resolve_goal_summary_config_honored_when_env_unset ... ok
test agent::config::tests::resolve_goal_summary_default_tracks_goal_enabled ... ok
test agent::config::tests::resolve_model_list_does_not_override_explicitly_set_context_window ... ok
test agent::config::tests::resolve_goal_summary_env_beats_config ... ok
test agent::config::tests::resolve_model_list_config_reasoning_efforts_beats_remote ... ok
test agent::config::tests::resolve_goal_summary_env_overrides_default_and_remote ... ok
test agent::config::tests::resolve_model_list_empty_prefetch_yields_empty_base ... ok
test agent::config::tests::resolve_goal_summary_remote_forces_either_way ... ok
test agent::config::tests::resolve_model_list_inherits_agent_type_and_api_backend ... ok
test agent::config::tests::resolve_model_list_inherits_context_window_from_default_when_prefetched_has_fallback ... ok
test agent::config::tests::resolve_image_gen_model_override_remote_settings_or_config ... ok
test agent::config::tests::resolve_model_list_prefetch_visibility_matches_auth_and_server_list ... ok
test agent::config::tests::resolve_raw_compat_sessions_fails_closed_per_vendor ... ok
test agent::config::tests::resolve_raw_compat_sessions_keeps_absent_and_valid_cells_independent ... ok
test agent::config::tests::resolve_model_list_retains_byok_defaults_when_session_prefetch_is_xai_only ... ok
test agent::config::tests::resolve_raw_compat_sessions_load_failure_allows_env_override ... ok
test agent::config::tests::resolve_raw_compat_sessions_valid_empty_uses_remote_and_defaults ... ok
test agent::config::tests::resolve_model_list_keeps_prefetch_only_entries_and_prunes_defaults ... ok
test agent::config::tests::resolve_model_list_prunes_bundled_entries_not_in_prefetch ... ok
test agent::config::tests::resolve_model_list_prefetch_replaces_bundled_entirely ... ok
test agent::config::tests::resolve_runtime_fields_cli_subagents_override ... ok
test agent::config::tests::resolve_raw_compat_sessions_load_failure_fails_closed ... ok
test agent::config::tests::resolve_runtime_fields_compat_asymmetric_sources ... ok
test agent::config::tests::resolve_runtime_fields_headless_defaults ... ok
test agent::config::tests::resolve_runtime_fields_propagates_disable_web_search ... ok
test agent::config::tests::resolve_runtime_fields_gitignore_from_env ... ok
test agent::config::tests::resolve_runtime_fields_propagates_disable_zdr_incompatible_tools ... ok
test agent::config::tests::resolve_runtime_fields_idempotent ... ok
test agent::config::tests::resolve_runtime_fields_interactive_defaults ... ok
test agent::config::tests::resolve_runtime_fields_managed_gateway_tools_from_remote ... ok
test agent::config::tests::resolve_runtime_fields_model_overrides_from_cli ... ok
test agent::config::tests::resolve_runtime_fields_path_hints_from_remote ... ok
test agent::config::tests::resolve_runtime_fields_subagents_from_config ... ok
test agent::config::tests::resolve_upload_method_accepts_deployment_key_without_oauth ... ok
test agent::config::tests::resolve_session_recap_config_off_overrides_default ... ok
test agent::config::tests::sampling_config_uses_fallback_when_no_model_api_key ... ok
test agent::config::tests::sampling_config_context_window_from_entry_or_default ... ok
test agent::config::tests::sampling_config_uses_model_api_backend ... ok
test agent::config::tests::sampling_config_uses_model_api_key_over_fallback ... ok
test agent::config::tests::resolve_session_recap_defaults_to_true_when_unset ... ok
test agent::config::tests::resolve_session_recap_env_off_overrides_default ... ok
test agent::config::tests::resolve_session_recap_remote_off_overrides_default ... ok
test agent::config::tests::subagent_permission_mode_precedence ... ok
test agent::config::tests::resolve_trace_upload_disabled_when_telemetry_off_despite_remote_flag ... ok
test agent::config::tests::slug_propagation_inherits_api_backend_but_not_agent_type ... ok
test agent::config::tests::resolve_trace_upload_explicit_config_wins_over_telemetry_off ... ok
test agent::config::tests::telemetry_enabled_from_toml_recognizes_modes ... ok
test agent::config::tests::slug_propagation_does_not_overwrite_explicit_context_window ... ok
test agent::config::tests::slug_propagation_enterprise_managed_config_key_mismatch ... ok
test agent::config::tests::resolve_trace_upload_honors_config_when_telemetry_on ... ok
test agent::config::tests::try_resolve_model_credentials_swaps_first_party_own_key_under_kill_switch ... ok
test agent::config::tests::telemetry_mode_toml_roundtrip ... ok
test agent::config::tests::telemetry_config_parses_custom_values_from_toml ... ok
test agent::config::tests::slug_propagation_noop_when_no_donor ... ok
test agent::config::tests::telemetry_empty_string_disables_sink ... ok
test agent::config::tests::telemetry_partial_override_retains_defaults ... ok
test agent::config::tests::unknown_key_still_warns_next_to_exempt_sections ... ok
test agent::config::tests::resolve_two_pass_compaction_precedence ... ok
test agent::config::tests::web_search_disable_api_key_auth_swaps_first_party_key_for_session ... ok
test agent::config::tests::trace_upload_decision_debug_reports_winning_source ... ok
test agent::config_model_override_parse::tests::every_aliases_pair_is_a_real_serde_alias_and_dedupes ... ok
test agent::config::tests::supported_in_api_false_hides_from_api_key_users ... ok
test agent::config::tests::version_overrides_apply_into_typed_config ... ok
test agent::config_model_override_parse::tests::invalid_canonical_key_falls_back_to_legacy_alias ... ok
test agent::config_model_override_parse::tests::fully_populated_override_round_trips_without_warnings ... ok
test agent::config_model_override_parse::tests::every_struct_alias_is_registered_in_aliases ... ok
test agent::config_model_override_parse::tests::non_table_entry_is_dropped_with_warning ... ok
test agent::config_model_override_parse::tests::non_table_model_section_warns_and_is_ignored ... ok
test agent::config::tests::wrong_typed_passthrough_values_neither_warn_nor_fail ... ok
test agent::config_model_override_parse::tests::prune_skips_invalid_fields_and_keeps_the_rest ... ok
test agent::config_model_override_parse::tests::unknown_field_warning_is_path_independent ... ok
test agent::config_model_override_parse::tests::unknown_field_warns_but_keeps_known_fields ... ok
test agent::config_model_override_parse::tests::legacy_alias_alone_parses_without_warning ... ok
test agent::ext_parsers::tests::parse_queue_edit_command_maps_each_method ... ok
test agent::config_model_override_parse::tests::duplicate_compactions_keys_keeps_model ... ok
test agent::config_model_override_parse::tests::invalid_reasoning_effort_skips_field_keeps_model ... ok
test agent::config::tests::user_override_adds_api_key_to_default_model ... ok
test agent::config::tests::user_override_parses_compaction_at_tokens_from_toml ... ok
test agent::feedback_client::tests::test_signals_to_update ... ok
test agent::feedback_client::tests::test_signals_to_update_fresh_session_itl_none ... ok
test agent::feedback_client::tests::test_snapshot_to_turn_delta_includes_prompt_mode_metadata ... ok
test agent::config::tests::user_override_parses_compactions_remaining_from_toml ... ok
test agent::folder_trust::tests::cached_grant_short_circuits_without_store_read ... ok
test agent::config::tests::auth_scheme_defaults_to_bearer_when_not_set_in_config ... ok
test agent::folder_trust::tests::cached_untrusted_is_upgraded_by_a_later_grant ... ok
test agent::folder_trust::tests::cached_untrusted_stays_untrusted_when_store_still_denies ... ok
test agent::config::tests::x_api_key_auth_scheme_flows_from_config_to_sampler ... ok
test agent::folder_trust::tests::build_for_cwd_with_trust_verdict_gates_active_project_plugin ... ok
test agent::folder_trust::tests::detected_config_kinds_reports_lsp_only_repo ... ok
test agent::folder_trust::tests::detected_config_kinds_summarizes_present_markers ... ok
test agent::feedback_client::forbidden_tests::send_json_bails_on_403_with_clear_message ... ok
test agent::folder_trust::tests::claude_env_gate_drops_project_env_when_untrusted ... ok
test agent::folder_trust::tests::explicit_child_untrust_survives_reload_despite_ancestor_trust ... ok
test agent::feedback_client::forbidden_tests::send_empty_returns_ok_on_403 ... ok
test agent::folder_trust::tests::filter_untrusted_project_lsp_drops_only_project ... ok
test agent::folder_trust::tests::filter_untrusted_project_mcp_drops_only_project ... ok
test agent::folder_trust::tests::load_servers_sourced_tags_project_lsp_json ... ok
test agent::feedback_client::auth_refresh_tests::feedback_client_uses_active_auth_for_each_request ... ok
test agent::feedback_client::auth_refresh_tests::send_empty_signs_request_with_active_auth ... ok
